Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,nir08,swir16,pet,ppt,q,soil,tmax,tmin,ws,location_id,NDMI,MNDWI,NDTI,NDSSI,Chlorophyll_Proxy,Red_Blue_Ratio,NDVI,Water_Balance,Water_Deficit,Temp_Range,Runoff_Ratio,Soil_Wash,Rain_vs_Vegetation
-28.760833,17.730278,2011-01-02,128.912,555.0,10.0,0.06281749999999997,0.10772500000000002,0.011406250000000007,236.3,8.3,0.4,0.0,35.76,21.029999,2.9399998,-28.760833+17.730278,0.8085095213820811,0.8184025387278007,0.14211139064028558,-0.2633214593058499,0.9431773401539402,2.4205834322910293,-0.17064439134242643,0.039190897597977246,-228.0,14.730000999999998,0.05376344086021505,0.0,9.71634844814214
-26.861111,28.884722,2011-01-03,74.72,162.9,163.0,0.039002499999999996,0.28560875,0.17802875,134.3,175.0,8.8,35.7,25.41,14.099999,1.93,-26.861111+28.884722,0.23203472535503822,-0.47954270378934777,-0.0726558401313259,-0.7596971760036976,4.5606187551926265,1.3881481920693586,0.6812877113520862,1.3008130081300813,40.69999999999999,11.310001,0.05056818181818182,6247.500000000001,55.77465051338491
-26.45,28.085833,2011-01-03,89.254,573.0,80.0,0.06131874999999998,0.218275,0.294285,141.5,156.10000000000002,7.800000000000001,9.900001,26.07,15.25,2.1499999,-26.45+28.085833,-0.14829483374662583,-0.512702879701684,0.20884623400423685,-0.5613725269032759,2.3024789005248114,2.3622464542048784,0.20220309805102846,1.1024561403508772,14.600000000000023,10.82,0.05028644175684277,1545.3901561000002,124.53609639423448
-27.671111,27.236944,2011-01-03,82.0,203.6,101.0,0.06657124999999997,0.20939249999999998,0.17185499999999998,152.40001,194.7,16.1,28.2,27.599998,15.96,2.22,-27.671111+27.236944,0.09845966200474505,-0.2599917517261635,0.03857213445722335,-0.5175362704277152,2.074579543680599,1.6378128672094754,0.31518142088484863,1.275749590889857,42.29998999999998,11.639997999999999,0.08277976494634647,5490.54,133.33417735371995
-27.356667,27.286389,2011-01-03,56.1,145.1,151.0,0.039745,0.26278375,0.14830125,151.90001,180.4,9.0,21.300001,27.21,16.15,2.27,-27.356667+27.286389,0.27848863366980336,-0.41495324853785276,-0.05003478349651847,-0.737248112538974,4.285536635555134,1.39577304970242,0.6513842900937101,1.1863962598825206,28.499989999999997,11.060000000000002,0.05016538037486218,3842.5201804000003,62.890274067094694
-27.010111,26.698083,2011-01-04,82.2,289.8,192.0,0.05696000000000001,0.14192125,0.06343624999999997,155.7,168.5,8.4,5.3,27.849998,16.75,2.3,-27.010111+26.698083,0.3821871612275243,0.15619440323482764,0.044585199612769355,-0.42719587672181464,1.6327566600425596,1.6684295967899754,0.1978751238851787,1.0816847479259732,12.800000000000011,11.099998,0.05014749262536873,893.05,135.15804162534738
-25.127778,27.628889,2011-01-04,125.0,438.0,163.0,0.0,0.01488500000000001,0.0,158.2,107.4,5.4,1.1,30.33,18.77,2.21,-25.127778+27.628889,0.9999999932818274,0.0,0.0,-0.9999999932818274,148850000.0000001,0.0,0.9999999932818274,0.6809045226130654,-50.79999999999998,11.559999999999999,0.0507380073800738,118.14000000000001,7.215317344266837e-07
-25.20639,27.558,2011-01-04,116.62,568.0,69.0,0.07607249999999999,0.18878125,0.08367625000000001,156.5,110.1,5.5,1.1,30.029999,18.6,2.18,-25.20639+27.558,0.38576658730783087,0.0242121220814483,-0.08152663290678966,-0.42555089349289915,2.14942430337512,0.9804791468921368,0.4335888367797666,0.7053968253968254,-46.400000000000006,11.429998999999999,0.050405040504050404,121.11,62.361869070547684
-24.69514,27.40906,2011-01-04,181.831,583.0,158.0,0.07282749999999999,0.22743249999999998,0.12778625,157.8,108.2,5.4,1.4,30.519999,19.84,2.1399999,-24.69514+27.40906,0.28052080576249966,-0.1586451550030793,-0.01856450925834475,-0.5149037499117752,2.4509793329730534,1.2276955803402623,0.43561864319476756,0.6876574307304786,-49.60000000000001,10.679998999999999,0.05036630036630037,151.48,61.06606280632616
-26.984722,26.632278,2011-01-04,196.0,452.0,158.0,0.05888500000000002,0.1762825,0.18531625000000002,155.2,170.3,8.5,8.3,28.01,17.0,2.23,-26.984722+26.632278,-0.024982802063065003,-0.3933094304629794,0.009368597927172904,-0.499208011098809,2.184620624984205,1.3962596562855398,0.3638812190022751,1.096670934699104,15.100000000000023,11.010000000000002,0.05020431990659661,1413.4900000000002,108.33102840391255
